2022-11-18 18:36:53,785-INFO:初始化结束！
2022-11-18 18:41:05,883-INFO:初始化结束！
2022-11-18 18:42:51,443-INFO:初始化结束！
2022-11-18 18:42:57,104-INFO:展开模糊搜索成功！

2022-11-18 18:42:57,122-INFO:获取搜索匹配数据成功，且对数据进行排序！

2022-11-18 18:42:57,123-INFO:模糊匹配完成！
2022-11-18 18:42:57,123-INFO:汉字拼音首字母获取成功！
2022-11-18 18:43:29,364-INFO:初始化结束！
2022-11-18 18:43:31,673-INFO:展开模糊搜索成功！

2022-11-18 18:43:31,685-INFO:获取搜索匹配数据成功，且对数据进行排序！

2022-11-18 18:43:31,685-INFO:模糊匹配完成！
2022-11-18 18:43:31,685-INFO:汉字拼音首字母获取成功！
2022-11-18 18:52:54,435-INFO:初始化结束！
2022-11-18 18:53:00,075-INFO:展开模糊搜索成功！

2022-11-18 18:53:00,087-INFO:获取搜索匹配数据成功，且对数据进行排序！

2022-11-18 18:53:00,087-INFO:模糊匹配完成！
2022-11-18 18:53:00,088-INFO:汉字拼音首字母获取成功！
2022-11-18 18:56:52,752-INFO:初始化结束！
2022-11-18 18:56:59,517-INFO:展开模糊搜索成功！

2022-11-18 18:56:59,529-INFO:获取搜索匹配数据成功，且对数据进行排序！

2022-11-18 18:56:59,529-INFO:模糊匹配完成！
2022-11-18 18:56:59,529-INFO:汉字拼音首字母获取成功！
2022-11-18 18:57:22,531-INFO:初始化结束！
2022-11-18 18:57:24,557-INFO:展开模糊搜索成功！

2022-11-18 18:57:24,569-INFO:获取搜索匹配数据成功，且对数据进行排序！

2022-11-18 18:57:24,569-INFO:模糊匹配完成！
2022-11-18 18:57:24,569-INFO:汉字拼音首字母获取成功！
2022-11-18 18:58:13,719-INFO:初始化结束！
2022-11-18 18:58:22,900-INFO:展开模糊搜索成功！

2022-11-18 18:58:22,912-INFO:获取搜索匹配数据成功，且对数据进行排序！

2022-11-18 18:58:22,912-INFO:模糊匹配完成！
2022-11-18 18:58:22,912-INFO:汉字拼音首字母获取成功！
2022-11-18 19:01:53,929-INFO:初始化结束！
2022-11-18 19:01:57,580-INFO:展开模糊搜索成功！

2022-11-18 19:01:57,592-INFO:获取搜索匹配数据成功，且对数据进行排序！

